Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Abl Christian,15,0.342,17.4,0.33,58.6,0.453,55.9,0.535,19.6,19,22.5,22.4,0.734,12.2,14.9,73,7.9,9,21.3,26.1,0.467,0.444,-1.7
Air Force,24.3,0.365,19.2,0.369,51.8,0.535,52.1,0.537,17.5,16,15.4,20.8,0.682,11.9,11.3,64.9,6.5,7.9,19.6,21.5,0.3,0.375,-0.9
Akron,23.3,0.327,20.8,0.308,56.2,0.548,56.4,0.51,17,17.4,19.3,17,0.723,11.3,11.1,68.2,8.3,7.7,23.3,21.8,0.655,0.375,-0.8
Alab A&M,14.5,0.285,21.2,0.359,54.7,0.467,56.9,0.469,21,20.2,26.2,26.6,0.714,16.4,14.4,73.9,9.5,10.2,22.2,22.6,0.323,0.571,-7.4
Alabama,30.5,0.369,23.1,0.318,64.6,0.575,62.7,0.508,19.7,20,22.8,24.5,0.786,12.1,11.8,76.4,11.1,9.8,25.1,21.6,0.677,0.8,12.1
Alabama St,24.6,0.28,22.5,0.337,64.8,0.406,54.8,0.482,19.6,16.4,18.6,24,0.718,11.6,14.2,72.9,11.5,8.3,22.6,28,0.357,0.5,-8.6
Albany,23.6,0.329,18,0.293,64,0.51,60.6,0.546,19.6,15.8,18.7,23.6,0.725,13.1,12.7,75.9,9.7,9,23.2,23.8,0.387,0.3,-3.9
Alcorn State,15.3,0.343,26.2,0.377,57.9,0.482,57,0.543,17.6,17.5,21.5,20.7,0.716,11.6,11.8,70,9.4,8.8,21.8,20.8,0.433,0.429,-5.8
American,24.2,0.347,22.5,0.369,53.9,0.528,53.2,0.519,16.5,16,15.3,15.8,0.724,11,10.8,64.6,7.5,7,21.6,21.3,0.484,0.364,-6.9
App State,18.8,0.336,21.5,0.32,60.5,0.538,65.5,0.437,12.8,16.5,19.5,13,0.685,10.7,10.2,72,9.4,9,27.9,22.9,0.807,0.714,-0.8
AR Lit Rock,18.4,0.341,22.4,0.32,59.5,0.531,59.2,0.479,17.7,17.1,19.9,20.8,0.749,12.2,12.6,72.1,9.5,9.2,23.8,21.4,0.636,0.5,-6.3
Arizona,21.2,0.374,23.9,0.337,65.3,0.549,62.8,0.479,16.5,19.2,23.7,16.5,0.724,11.9,13.5,76.9,11.7,7.1,27.7,21.3,0.774,0.2,11.1
Arizona St,22.5,0.304,23,0.335,59.1,0.491,59.1,0.517,16.6,16.8,19.7,18.3,0.657,10.5,13.6,72.3,6.7,9,23.1,28.4,0.452,0.625,7.3
Ark Pine Bl,28,0.365,24.9,0.314,56.7,0.484,64.9,0.56,18.3,18.7,22.8,21.1,0.758,13.1,11.3,74.8,6.3,11,23.1,25.7,0.333,0.571,-10.3
Arkansas,18.9,0.319,21.5,0.341,57.5,0.516,61.8,0.494,20.1,21,26.5,24.3,0.75,12,11.1,75,7.3,9.1,24.2,23.9,0.484,0.556,7.2
Arkansas St,27.2,0.35,16.3,0.346,62.4,0.515,60.4,0.49,17.8,16.5,20.1,21.7,0.702,11.4,10,72.1,11,8.8,24.5,23.4,0.546,0.333,-0.1
