,Unnamed: 0,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,losing_name,pace,winner,winning_name,Year,G_winner,W_winner,ADJOE_winner,ADJDE_winner,BARTHAG_winner,EFG_O_winner,EFG_D_winner,TOR_winner,TORD_winner,ORB_winner,DRB_winner,FTR_winner,FTRD_winner,2P_O_winner,2P_D_winner,3P_O_winner,3P_D_winner,ADJ_T_winner,WAB_winner,POSTSEASON_winner,SEED_winner,G_loser,W_loser,ADJOE_loser,ADJDE_loser,BARTHAG_loser,EFG_O_loser,EFG_D_loser,TOR_loser,TORD_loser,ORB_loser,DRB_loser,FTR_loser,FTRD_loser,2P_O_loser,2P_D_loser,3P_O_loser,3P_D_loser,ADJ_T_loser,WAB_loser,POSTSEASON_loser,SEED_loser
0,2016-03-17-north-carolina,40,10,9.8,5,115.3,61,25,0.448,58,0.431,25,0.414,24,0.625,15,14,200,93.1,34.4,11,19,67,16,8.3,6,0.19,11,0.182,2,49.3,36,0.483,17,14,47,0.489,23,0.6,21,17-Mar-16,41.9,13,21.3,10,93.1,65.6,21,0.479,72,0.431,31,0.264,19,0.737,14,6,200,115.3,39,16,19,83,1,11.1,8,0.292,21,0.333,7,50.7,37,0.512,8,7,51,0.471,24,0.829,29,Fla Gulf Cst,72.2,Home,N Carolina,2016,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1,31,17,102.9,102.4,0.5136,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68,-8.4,R64,16
1,2016-03-19-north-carolina,34.8,8,2.2,1,114.9,62.5,15,0.456,57,0.404,23,0.404,23,0.609,14,11,200,89.2,15.2,5,20,66,9,6.8,5,0.404,23,0.261,6,35.1,20,0.486,14.1,11,34,0.5,17,0.686,24,19-Mar-16,38.7,12,11.8,4,89.2,84.8,28,0.559,59,0.525,31,0.356,21,0.905,19,6,200,114.9,37.5,9,19,85,1,6.8,5,0.237,14,0.286,4,64.9,37,0.616,18,15,45,0.6,27,0.833,30,Providence,74.5,Home,N Carolina,2016,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1,35,24,108.7,95.4,0.8193,48,49.3,16.1,20.6,30.4,30.3,37.3,28,48,49.8,32.1,32.3,69.3,3.4,R32,9
2,2016-03-25-north-carolina,52,13,2.4,1,136.5,55.2,16,0.516,61,0.41,25,0.426,26,0.885,23,8,200,116.2,35.3,12,27,86,5,2.7,2,0.508,31,0.419,13,44.4,28,0.586,14.2,12,30,0.4,12,0.771,27,25-Mar-16,62.5,20,16.7,5,116.2,64.7,22,0.605,62,0.516,32,0.532,33,0.788,26,6,200,136.5,44.8,13,22,101,1,9.5,7,0.323,20,0.55,11,55.6,35,0.65,10.5,9,42,0.5,21,0.838,31,Indiana,73.5,Home,N Carolina,2016,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1,35,27,121.3,98.4,0.9168,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49,41.6,34.3,69.5,3.2,S16,5
3,2016-03-27-north-carolina,33.3,9,2.6,1,154.4,42.9,9,0.643,49,0.551,27,0.286,14,0.786,11,12,200,129.8,20.8,5,18,74,6,5.3,3,0.367,18,0.5,9,31.1,14,0.665,9.8,6,31,0.581,18,0.667,24,27-Mar-16,53.1,17,3.2,1,129.8,79.2,19,0.654,52,0.615,32,0.462,24,0.833,20,6,200,154.4,57.1,12,17,88,1,7,4,0.25,13,0.308,4,68.9,31,0.694,8.8,6,39,0.718,28,0.842,32,Notre Dame,57,Home,N Carolina,2016,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1,36,24,118.3,103.3,0.8269,54,49.5,15.3,14.8,32.7,32.1,32.9,26,52.9,46.5,37.4,36.9,65.5,2.3,E8,6
4,2016-04-02-north-carolina,18.5,5,8.3,4,125.8,48.4,15,0.47,66,0.409,27,0.197,13,0.308,4,14,200,100,37.2,16,15,66,10,12.1,8,0.379,25,0.32,8,41.9,31,0.457,12.2,10,41,0.463,19,0.622,23,2-Apr-16,51.4,18,12.2,5,100,62.8,27,0.569,65,0.538,35,0.169,11,0.818,9,6,200,125.8,51.6,16,12,83,1,9.1,6,0.262,17,0.235,4,58.1,43,0.591,14.7,12,48,0.646,31,0.846,33,Syracuse,66.2,Home,N Carolina,2016,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1,37,23,111.9,93.6,0.8857,50,47.3,18.1,20.4,33.5,35.3,35.4,28,47.2,48.1,36,30.7,65.5,-0.3,F4,10
5,2016-04-04-north-carolina,21.4,6,10.9,5,113.8,60,21,0.667,48,0.583,28,0.354,17,0.765,13,5,200,118.5,9.5,2,16,77,2,7.7,5,0.292,14,0.571,8,41.1,23,0.687,15.3,10,34,0.588,20,0.875,35,4-Apr-16,59.3,16,8.8,3,118.5,90.5,19,0.516,63,0.429,27,0.206,13,0.692,9,7,200,113.8,40,14,20,74,1,7.7,5,0.27,17,0.647,11,58.9,33,0.535,13.8,11,46,0.348,16,0.825,33,N Carolina,65.1,Away,Villanova,2016,40,35,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30,57.4,44.1,36.2,33.9,66.7,8.9,Champions,2,40,33,123.3,94.9,0.9531,52.6,48.1,15.4,18.2,40.7,30,32.3,30.4,53.9,44.6,32.7,36.2,71.7,8.6,2ND,1
6,2015-03-20-coastal-carolina,42.4,14,2.2,1,114.3,75.9,22,0.631,61,0.541,33,0.197,12,0.75,9,3,200,136.5,41.4,12,11,86,1,7.9,5,0.443,27,0.407,11,58.6,34,0.645,12,9,34,0.647,22,0.914,32,20-Mar-15,32.1,9,2.9,1,136.5,58.6,17,0.543,58,0.483,28,0.19,11,0.818,9,10,200,114.3,24.1,7,14,72,16,12.7,8,0.207,12,0.583,7,41.4,24,0.569,8.7,6,46,0.457,21,0.706,24,Coastal Car,63,Away,Wisconsin,2015,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1,30,20,104.5,103,0.5417,50,47.7,17.5,16.9,34.8,28,38.9,35,48.1,45.8,35.9,33.8,64.1,-5.1,R64,16
7,2015-03-22-oregon,50,11,7.5,3,103.2,71.4,20,0.5,51,0.431,22,0.569,29,0.724,21,3,200,114.3,22.6,7,13,72,1,4.8,3,0.451,23,0.304,7,45.8,27,0.556,8.6,6,28,0.536,15,0.917,33,22-Mar-15,50,13,14.3,4,114.3,77.4,24,0.508,59,0.441,26,0.119,7,0.714,5,10,200,103.2,28.6,8,20,65,8,4.8,3,0.322,19,0.421,8,54.2,32,0.521,11.4,8,40,0.45,18,0.722,26,Oregon,63.1,Away,Wisconsin,2015,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1,35,25,114.3,99.1,0.8379,52.3,48,16.9,16.7,30.2,31.5,29.1,35.4,50.8,47.1,36.9,33.2,66.9,3,R32,8
8,2015-03-26-north-carolina,50,13,0,0,118,73.3,22,0.527,56,0.464,26,0.411,23,0.87,20,3,200,129.5,37.9,11,18,79,1,4.9,3,0.375,21,0.333,7,55.9,33,0.59,7,5,35,0.543,19,0.919,34,26-Mar-15,46.2,12,2.9,1,129.5,62.1,18,0.536,56,0.464,26,0.321,18,0.667,12,12,200,118,26.7,8,20,72,4,4.9,3,0.232,13,0.615,8,44.1,26,0.558,5.9,4,43,0.419,18,0.684,26,N Carolina,60.7,Away,Wisconsin,2015,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1,38,26,119.6,92.5,0.9507,51.6,45.4,18.2,17.7,40,31.2,35.2,37.8,50.9,45.6,35.8,30,69.9,6.5,S16,4
9,2015-03-28-arizona,44,11,2.7,1,120,88.9,16,0.689,45,0.556,25,0.689,31,0.742,23,3,200,130.8,10,2,21,85,1,7.7,5,0.4,18,0.667,12,47.4,18,0.712,12,8,27,0.481,13,0.921,35,28-Mar-15,33.3,8,3.7,1,130.8,90,18,0.581,43,0.558,24,0.698,30,0.933,28,4,200,120,11.1,2,22,78,2,7.7,5,0.14,6,0.333,2,52.6,20,0.681,15.1,10,37,0.595,22,0.895,34,Arizona,65.5,Away,Wisconsin,2015,40,36,129.1,93.6,0.9758,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,59.3,11.3,2ND,1,38,34,117.5,86.9,0.97,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36,33.5,66.7,9,E8,2
