Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %
Abl Christian,19.1,0.371,19.6,0.361,53.3,0.507,53.7,0.521,22.2,17.2,18.5,23.8,0.644,14.5,14.8,70.6,6.4,8.8,21.3,23.7,0.36,0.546
Air Force,21.9,0.363,26.7,0.366,56.6,0.469,57,0.544,17.9,20.5,21.2,18.6,0.716,12.5,12.2,71,7.8,7.4,23.8,25,0.323,0.4
Akron,27.3,0.368,19.1,0.368,56.4,0.55,57.2,0.49,18.3,18.7,21,18.8,0.681,11.7,11.4,69.6,8.3,8.1,23,22.1,0.743,0.692
Alab A&M,15.4,0.28,20.3,0.364,53.4,0.456,59.4,0.534,18.1,18.3,21.2,20.2,0.669,13.2,9.2,68,8,11,20.1,22.9,0.069,0.143
Alabama,20.9,0.317,18.5,0.333,56.1,0.487,54.4,0.442,19.5,19.5,21.9,21.7,0.653,13.9,13.5,70.1,10.7,7.8,25.1,21.6,0.559,0.4
Alabama St,21.6,0.294,18.4,0.345,59.3,0.444,57.5,0.497,20.4,18.4,20.5,24.5,0.634,15.6,12.8,72.6,11.5,9.9,22.7,23.9,0.233,0.429
Albany,14.8,0.371,23,0.347,54.7,0.503,53,0.507,17.8,18,18.3,16.6,0.762,11.9,11.4,66.5,8.5,6.1,22.9,19.6,0.588,0.286
Alcorn State,20.5,0.32,18.3,0.302,57.6,0.479,57.2,0.482,19.2,17.1,18.9,22.7,0.657,14.2,12.8,71,10,9.7,23.6,23.4,0.517,0.4
American,17.6,0.318,15.6,0.368,51.4,0.517,50.9,0.513,18.3,16.4,15.8,21.1,0.618,13.2,13.2,66.5,5.8,7.4,20.9,23.4,0.267,0.5
App State,24.3,0.327,16.7,0.39,58.8,0.463,56.8,0.505,21.8,20.4,21.8,25.4,0.675,13.9,12.1,73.3,9.3,8.1,23.9,25.5,0.25,0.5
AR Lit Rock,18.3,0.338,19.6,0.362,54.4,0.482,51.7,0.502,18.2,16.2,17.6,20.9,0.737,12.9,13.2,67.6,8.3,7,21.8,22.5,0.433,0.6
Arizona,16.9,0.39,20.9,0.31,55.4,0.515,57.3,0.485,16.9,19.7,22.4,16.4,0.765,11.2,11.7,68.8,8.6,7.8,25.2,19.6,0.865,0.625
Arizona St,27.2,0.366,25.3,0.364,62,0.487,61.8,0.559,16.8,18.3,19.8,18.5,0.749,10.4,13.3,74.3,7.8,9.3,21.6,26.8,0.455,0.667
Ark Pine Bl,19,0.344,19.7,0.326,53.6,0.429,50.2,0.543,22.5,16.1,17.6,29.4,0.649,17.9,16.3,70.8,8.9,9.8,18.7,22.8,0.2,0.25
Arkansas,17.7,0.365,22,0.332,60.1,0.5,60,0.467,20.5,18.6,22.9,23.4,0.761,11.9,13.3,73.4,9.5,11,23.5,22.2,0.722,0.857
Arkansas St,18,0.377,19,0.32,55.6,0.497,54.7,0.498,20.3,20.5,23.1,22.9,0.635,12.8,12.9,70.9,8.3,7.8,23.7,22.8,0.613,0.625
Army,25.4,0.351,20.7,0.338,59.3,0.507,59.6,0.501,19.4,17,16.6,20.1,0.66,15,12.6,74.2,7.7,7.7,25.6,25,0.387,0.364
Auburn,24.7,0.366,23.9,0.357,61.5,0.485,61.6,0.487,20.9,22.7,26.1,23.9,0.672,13.6,15.1,77.7,9.6,10.6,23.2,24.9,0.563,0.667
Austin Peay,21.2,0.352,24,0.37,57,0.522,63.4,0.569,18.4,20.6,23.4,18.7,0.717,12.6,12.8,74.1,6.9,10.6,21.3,24.5,0.321,0.455
Ball State,24.4,0.376,21.8,0.356,59,0.517,61.8,0.462,19.6,19.6,20.7,22.2,0.722,14.7,12.8,75.6,8.2,9.3,26,23.5,0.606,0.546
Baylor,18.2,0.353,19.5,0.322,55.6,0.522,56.1,0.45,17.6,18.4,18.8,16.9,0.719,13.4,11.1,66.8,11,8.6,22.9,17.9,0.765,0.636
Belmont,29.9,0.341,18.7,0.318,56.7,0.609,58.2,0.486,17.5,17.4,16.7,18.6,0.771,12.8,11.1,70.2,7.2,8,24.9,22.4,0.759,1
Beth-Cook,22,0.323,21.3,0.336,62.7,0.459,59.1,0.546,20.7,16.6,17.7,23.6,0.661,12.6,14,73.3,10.4,11.1,21.3,25.5,0.267,0.4
Binghamton,21.3,0.344,20.9,0.357,54.7,0.471,56.4,0.513,17.2,16.8,16.9,18.2,0.693,12.5,11.5,68.3,6.9,8.2,22.7,24.6,0.31,0.429
Boise State,22.7,0.348,17,0.342,56.5,0.515,56.6,0.471,20.8,20.1,22.8,23.7,0.715,12.6,11.7,71.9,7.8,7.8,24.4,23,0.613,0.7
Boston Col,21.4,0.374,20.2,0.354,58.8,0.491,57.5,0.532,18.7,16.5,17.4,22.8,0.68,14.6,12.4,74,7.7,6.6,24.3,25.1,0.281,0.25
Boston U,24,0.353,23.4,0.365,57.7,0.5,56.4,0.475,19.2,17.3,19.3,21,0.696,14.3,14.7,72.6,8.5,8.5,23.8,23.8,0.548,0.636
Bowling Grn,20,0.341,20.9,0.352,61.1,0.465,58.8,0.533,19.5,20.6,21.9,20.1,0.663,12.7,14.7,74.8,9.1,8.5,22.7,26.4,0.387,0.6
Bradley,18.4,0.353,22.1,0.347,52.1,0.461,56.1,0.468,20.5,19.7,21.9,22.9,0.678,15,12.8,70,7.6,9.7,24.4,23.7,0.375,0.2
Brown,22,0.356,20.4,0.374,55.4,0.49,55.4,0.586,20.2,22.1,24.6,21.6,0.758,14.1,15.3,73.5,6.9,8.2,20.1,23.9,0.393,0.4
Bryant,22,0.338,22.1,0.336,59.9,0.492,59.6,0.521,21.3,18.7,19.6,22.3,0.721,13.5,12.6,73.6,8.8,9.7,23.2,24.6,0.355,0.286
Bucknell,21.5,0.379,18,0.342,56,0.543,57.6,0.465,18.7,19.2,20.9,19.1,0.681,13.3,13.9,71.8,7.8,8.4,24.5,22.4,0.743,0.571
Buffalo,22.9,0.33,21.1,0.351,60.8,0.514,59.9,0.458,23.2,19.8,22.7,25.7,0.687,14.5,12.9,75.4,10.6,9.7,26.3,23.3,0.5,0.222
Butler,21,0.366,20.4,0.333,55.8,0.545,54,0.513,18.8,19.2,20.7,20,0.741,10.2,13.3,69,7.3,7.4,22.3,21.3,0.735,0.6
BYU,19.6,0.344,24.9,0.324,60.5,0.509,64,0.476,19.3,21.4,25.6,19.9,0.733,13.8,12.2,77.3,9.2,8.3,28.9,24.4,0.647,0.333
Cal Poly,24.5,0.335,14.7,0.398,58,0.451,54.3,0.5,19.2,17.7,17.1,22.3,0.703,10.9,11.9,68.8,7.9,8.4,20.9,25.4,0.31,0.5
Cal St Nrdge,13.6,0.337,17.5,0.384,57.9,0.494,60.4,0.496,21.3,21.2,26,25.2,0.741,13.2,13.2,75.5,7.9,10,22.6,23.7,0.357,0.444
California,19.5,0.34,18.1,0.328,56.2,0.466,55.7,0.435,19.3,18.7,21.2,19,0.661,12.6,11.1,69.2,9.6,6.7,26.1,22,0.618,0.455
Campbell,21.1,0.356,20,0.348,53.5,0.502,55.5,0.499,18.1,17.2,19.6,21.5,0.749,12.6,11.7,68.9,6.7,8.2,22.7,23.1,0.471,0.571
Canisius,24.5,0.371,19.6,0.343,60.8,0.514,58.1,0.56,19.4,18.8,18.8,19.6,0.736,13.2,14.9,73.4,9.1,9.3,20.8,23.3,0.529,0.429
Central Ark,19.2,0.375,27.9,0.392,59.7,0.467,63.5,0.522,18.9,18.2,21.5,20.3,0.718,13.9,11.4,74.7,8.6,10.4,23.2,24.8,0.25,0.444
Central Conn,14.4,0.349,21.1,0.38,55.2,0.447,55.2,0.522,18.6,18.6,18.4,19.1,0.62,14.3,13.5,69,9.6,8.6,19.9,22.8,0.207,0.4
Central FL,20.8,0.352,24.3,0.313,52.7,0.489,60.4,0.399,15.2,19.7,21.1,13.5,0.661,14.6,9.8,67.9,9.3,8.7,28.1,20.1,0.667,0.727
Central Mich,34.7,0.364,25.3,0.351,66.3,0.485,69.2,0.539,19.6,20.1,23,22.5,0.791,11.4,11.9,79.7,9.1,11.8,24.5,27.7,0.467,0.4
Charl South,21.1,0.333,21.1,0.373,59.4,0.48,56,0.532,20.3,17.9,20.8,23.3,0.677,11.3,11.8,71.6,8.5,7.6,21.9,26.1,0.321,0.444
Charlotte,20.8,0.375,18.5,0.358,59.8,0.475,61.7,0.517,19.3,18.6,20.3,21.9,0.746,12,13.6,75.6,6.1,9.9,23.2,27.6,0.414,0.5
Chattanooga,20.9,0.331,16.1,0.353,54.8,0.533,53.7,0.497,18.6,19.5,22.1,20,0.713,13.4,14.6,69.9,8.4,8.2,19.9,21.6,0.586,0.286
Chicago St,21.2,0.304,26.6,0.362,59.8,0.407,58.5,0.556,19.3,17.3,16.6,20.8,0.709,13.8,12.9,72.1,9,9.7,22.5,27.6,0.103,0
Cincinnati,21.2,0.346,20.3,0.343,58.8,0.521,54.8,0.415,15.7,16.8,19.1,16,0.686,10.1,13.2,67.3,10.8,8.1,23.1,20.5,0.833,0.667
Citadel,34,0.339,22.8,0.389,69.2,0.479,65.6,0.577,22.3,20.3,22.7,26.8,0.744,14.1,16,83.5,10.1,11.3,21.2,29.5,0.3,0.667
Clemson,20.3,0.357,21.6,0.356,58.8,0.498,58.5,0.51,15.2,19,20.2,14.2,0.731,10.8,13.7,69.6,9.7,9,21.8,22.7,0.515,0.308
Cleveland St,22.9,0.307,19.3,0.353,59.2,0.465,54.2,0.517,20.7,18,17.5,22.7,0.684,13.1,15.6,71.5,9.3,8.9,20.4,25.1,0.267,0.2
Coastal Car,24.5,0.327,28.3,0.339,61.6,0.48,59.9,0.497,18.5,17.8,18,19.5,0.655,12.8,11.8,72.8,9.8,8.6,25.8,25.6,0.487,0.546
Col Charlestn,19.1,0.332,21.3,0.311,53.2,0.491,55.6,0.489,17.4,19.4,22.7,17.7,0.741,10.5,12.3,67.5,7.1,8.6,23.8,23.9,0.706,0.833
Colgate,22.6,0.361,20.9,0.376,52.8,0.494,54.1,0.5,18.9,17.5,17.6,20.9,0.678,14.9,11.8,68.9,7,7,22.8,23,0.29,0.455
Colorado,21.1,0.351,22,0.368,58.8,0.499,58,0.473,18.7,20.9,22.1,19.7,0.701,12,11.9,71.1,10.2,8.2,24.2,22.8,0.546,0.143
Colorado St,21.3,0.341,23.6,0.314,57.6,0.466,58.7,0.466,17.3,19.6,22,18.7,0.726,10.9,11.4,69.2,10.3,9.2,25.6,23,0.647,0.6
Columbia,21.7,0.361,25.9,0.361,59.4,0.471,57.8,0.502,18.8,18.2,17.3,20.1,0.711,13,14.2,72,8.2,9.9,22.8,23.9,0.385,0.417
Connecticut,19,0.354,22.8,0.33,54.6,0.461,58,0.43,17.5,16.7,18.8,18.5,0.716,12.3,10.7,67.9,8.4,9.1,24.4,22.1,0.469,0.462
Coppin State,21.8,0.317,23.2,0.356,57.6,0.417,57.7,0.55,20.5,20.5,23,23.1,0.637,13.5,13.4,72.5,9.1,10.1,20.8,26.5,0.233,0.4
Cornell,24.4,0.333,20.8,0.356,56.5,0.537,60.8,0.511,18.3,16.8,16.7,19.4,0.698,14.4,11.1,72.8,6.3,8,24.4,24.8,0.25,0.429
Creighton,21.7,0.398,22.4,0.33,60.5,0.564,60.8,0.502,16.7,17.5,16.9,17.8,0.683,12.4,14,74,6.6,9.5,25,23.8,0.706,0.6
CS Bakersfld,18.5,0.342,21.5,0.316,57.4,0.47,53.8,0.41,22.7,19.6,21.8,25.3,0.638,14.6,16.1,71.8,10.6,10.1,24.6,23.3,0.688,0.636
CS Fullerton,19.5,0.308,19.4,0.343,57.4,0.506,56.3,0.488,21.4,20,22.9,23.7,0.702,15,14.2,74.5,8.6,7.5,23.3,22.8,0.5,0.667
Dartmouth,20.9,0.352,20.8,0.351,54.2,0.481,58.3,0.536,18.3,18.9,18.3,17.9,0.709,14.9,10.9,70,7.5,8,23.1,23.2,0.259,0.455
Davidson,26.8,0.341,19.8,0.381,58.2,0.519,58.6,0.458,18.2,18.1,18.3,19.5,0.753,12.2,11.9,71.4,7.5,8.6,25.3,24.8,0.531,0.4
Dayton,21.1,0.384,21.9,0.323,54.9,0.51,55.4,0.472,18.9,19.8,23.8,19.5,0.693,11.7,14.5,71.2,7,7.8,24.2,23.6,0.742,0.556
Delaware,19.5,0.301,23.2,0.37,55.9,0.478,55.1,0.516,19.1,17,18,22.1,0.685,12,10.1,67.9,8.2,8.2,23.2,24.6,0.355,0.778
Delaware St,22.5,0.351,24.6,0.347,57.4,0.447,56.9,0.526,19.4,17,17.3,22.3,0.663,13.5,14,70.7,8.3,11,19.6,24.6,0.267,0.5
Denver,18.5,0.402,22,0.358,56.1,0.521,56.7,0.5,20.1,19.5,19.4,22.1,0.734,13.5,10.8,70.9,7.6,7.5,24.6,21.5,0.533,0.546
DePaul,17.6,0.326,21.9,0.361,56.4,0.477,54.5,0.536,19.8,19.4,20.1,21.9,0.735,14.1,13.9,70.7,9.2,8.2,20.5,23.1,0.281,0.5
Detroit,20.6,0.374,20.6,0.378,57.9,0.481,55.9,0.574,23.4,19.6,21.9,27.2,0.683,14.7,14.6,74.5,8.4,9.1,20.5,24.8,0.233,0.4
Drake,25.4,0.346,22.4,0.368,60.2,0.453,60.9,0.52,18.2,16.9,17.5,18.7,0.756,12.5,12.5,72.2,8.5,10.3,23,26.1,0.207,0.375
Drexel,22.6,0.349,21.5,0.36,61.8,0.485,59.4,0.526,20.5,19,19.5,23.7,0.666,13.4,12.7,74.1,10.1,9.4,22.8,24.4,0.258,0.25
Duke,22.2,0.378,17.3,0.293,57.9,0.536,59.9,0.489,18.2,19.9,22.8,18.7,0.762,11.4,12.1,71.2,9.4,9.3,24.5,21.6,0.757,0.556
Duquesne,21.2,0.334,20.7,0.359,57.3,0.483,60.2,0.479,18.5,19.2,21.3,20,0.676,14.3,12.5,73,8.6,9.4,24.3,24.4,0.313,0.273
E Carolina,20.2,0.32,20.3,0.325,54.5,0.445,59.7,0.426,16.7,18.3,20.4,16.2,0.657,13.9,11.3,68.4,9.8,10.3,25.1,23.8,0.455,0.429
E Illinois,24.1,0.366,19.4,0.359,63.5,0.435,58.1,0.476,19.6,18.1,17.1,22.8,0.748,12.7,15.2,73.6,10.4,10.7,23.7,26.3,0.444,0.25
E Kentucky,23.4,0.323,20.2,0.362,55.9,0.501,57.6,0.498,19.7,19.4,20.9,23.3,0.712,14.1,13.7,72.3,7.5,10.2,22,24.7,0.345,0.444
E Michigan,18.8,0.336,21.6,0.339,60.9,0.48,54.8,0.502,22.2,19.1,21.5,27.8,0.721,12.1,15.2,72.7,10.8,10.2,21,23.2,0.414,0.5
E Tenn St,19.8,0.382,22,0.354,55.9,0.55,55.8,0.457,20.3,20.6,24,21.3,0.697,15,16,73.9,8.3,8.2,24.5,21.3,0.758,0.571
E Washingtn,21.5,0.368,21.6,0.377,58.3,0.537,59.9,0.482,20.2,19.3,20.3,22.1,0.769,12.1,10.3,72.2,7.9,8.3,25.3,23.3,0.625,0.75
Elon,26.7,0.357,24.5,0.322,58.8,0.509,62.1,0.488,16.6,18,18,16.4,0.697,11.7,10.5,71.5,7.1,9.2,26.8,25.7,0.533,0.364
Evansville,10.1,0.369,21.2,0.349,53,0.472,54.5,0.479,20.4,21,24.3,22.3,0.711,12.2,12.6,69.7,7,7.9,23.7,22.8,0.452,0.556
F Dickinson,20.3,0.327,20,0.344,56.7,0.498,56.6,0.519,21.4,18.8,20.5,24.9,0.773,13.3,13.7,71.8,8,10.2,21.4,23.6,0.345,0.333
Fairfield,25.2,0.335,20.5,0.331,60,0.52,61,0.494,18.3,17,16.3,19.5,0.682,13.5,12.6,73.6,7.8,9.1,25.6,26.2,0.516,0.714
Fla Atlantic,21.2,0.314,17,0.37,60.8,0.455,59.1,0.492,19.2,17.2,18.5,21.2,0.705,11.8,12.6,72.1,8.9,10,23.3,26.9,0.286,0.3
Fla Gulf Cst,18.8,0.337,21.6,0.311,58.4,0.554,57.5,0.51,19,17.7,19.7,20.7,0.696,12.3,11.9,70.3,9.7,9,24,20,0.742,0.667
Florida,21.6,0.358,18,0.305,58.8,0.503,57.5,0.458,18.4,20.7,23.6,19.6,0.729,12,14.8,72.5,9.8,8.8,23.8,22.9,0.75,0.444
Florida A&M,17.7,0.339,25.1,0.361,59.4,0.447,60.9,0.525,18.8,20.1,22.3,20.7,0.658,13.3,13.6,74.9,8.1,9.9,21.5,26.6,0.179,0.125
Florida Intl,17.7,0.324,19.2,0.363,57.4,0.502,55.8,0.526,18.6,15.8,16.4,20.4,0.756,13,11.4,69.5,8.4,7.7,21.7,21.9,0.172,0
Florida St,19.2,0.347,21.2,0.349,61.3,0.544,58.9,0.454,19.5,19.7,23.5,22,0.689,11.9,14.1,74,10.5,9.2,24.7,21,0.743,0.625
Fordham,24.4,0.332,19.1,0.361,55.1,0.474,49.2,0.523,19.1,16.2,14.7,21.4,0.731,13.4,17.3,68.8,6.8,7.7,19.2,25,0.387,0.429
Fresno St,18.2,0.356,20.8,0.336,56.5,0.495,54.6,0.472,22.2,20.4,22.9,25.3,0.675,13.5,14.8,72.7,8.3,8.5,24.4,23.8,0.581,0.636
Furman,23.5,0.381,22.3,0.316,54.6,0.533,54.7,0.509,17.6,17.5,17.5,18.5,0.706,12.9,13.1,68.5,7.7,7.7,23.3,21.4,0.636,0.556
GA Southern,24.9,0.363,24.3,0.341,56.9,0.492,59.4,0.514,19.7,19.2,22.7,20.6,0.676,11.9,13.2,72,7.6,10.5,23,25.8,0.516,0.571
GA Tech,13.8,0.325,22,0.331,56,0.469,60.2,0.439,16.1,18,20.1,16.5,0.68,13.4,13.1,70.8,8.3,10.1,24.5,23.3,0.556,0.429
Gard-Webb,16.6,0.376,19.8,0.356,56.5,0.503,57.1,0.468,20.8,21,25.3,23.3,0.635,14.8,14.8,74.1,9.3,8.7,24.4,22.5,0.533,0.333
Geo Mason,15.9,0.342,22.6,0.327,57.4,0.485,61.7,0.484,16.7,18.8,22.8,17.1,0.751,13.2,10,72,9.2,8.1,27.3,22.4,0.576,0.7
Geo Wshgtn,21.2,0.371,18.8,0.354,55.4,0.456,58,0.489,15.5,18.2,20.3,15.6,0.745,13,10.8,68.3,9.9,7.7,23.7,22,0.571,0.75
Georgetown,18.4,0.349,19.2,0.324,54.8,0.518,59.2,0.468,21,20.8,23.3,23,0.733,14.3,12.3,72.3,8,9.8,24.6,21.8,0.438,0.455
Georgia,15.6,0.318,21.6,0.336,56,0.483,59.4,0.454,18.7,20.3,22.8,20.3,0.759,13,11.7,71.7,8.3,8.9,25.8,22.6,0.546,0.636
Georgia St,20.8,0.35,25.7,0.324,56.8,0.533,55.9,0.494,20.5,18,19.3,22.4,0.637,14,13.9,71.1,9.1,9.1,23.3,21.7,0.581,0.5
Gonzaga,19.2,0.382,19.8,0.289,58.5,0.564,61.5,0.4,16.9,19.7,22.8,16.6,0.717,11.5,12.2,72.4,8.2,9.3,29.2,21.2,0.949,1
Grambling St,17,0.315,19.5,0.378,57.6,0.466,52.6,0.548,20,19.6,22,22.2,0.659,14,16.9,71.7,9.8,9,18.7,24.3,0.433,0.583
Grd Canyon,19.8,0.33,19.9,0.325,58,0.478,58,0.473,17.6,21.7,24.4,18.3,0.661,13,15,72.9,9.6,8.9,24.8,24.9,0.69,0.833
Hampton,19.8,0.322,19.4,0.356,58.8,0.45,55.8,0.476,20.4,18.4,19.7,23.8,0.723,13.9,14.1,72.6,9.6,8.4,23.1,24,0.414,0.571
Hartford,23.4,0.341,19.6,0.387,54.8,0.453,58,0.488,18.3,17.4,18.1,20.4,0.703,14,12.8,70.7,6.8,9.8,21.1,25,0.281,0.667
Harvard,22.8,0.359,19,0.312,55.7,0.512,55.2,0.478,19.2,17.3,18,21.8,0.752,13.3,12.4,68.9,8.8,8.8,24.2,21.8,0.615,0.222
Hawaii,21.6,0.321,17.9,0.338,54.6,0.486,54,0.509,19,20.5,20.1,20.7,0.721,14,14,70.2,7.6,8,20.7,23.3,0.448,0.429
High Point,16.7,0.375,22.2,0.367,54.6,0.448,55.4,0.51,17.9,19.1,19.9,18.5,0.77,13,13.3,69,8.4,8.1,23.1,22.9,0.429,0.385
Hofstra,24.8,0.364,20.8,0.369,59.6,0.496,60.6,0.52,17.1,20.2,22.5,17.8,0.681,10.6,10.7,70.7,10.4,9,22.9,23,0.452,0.539
Holy Cross,21.4,0.345,22.6,0.343,48.5,0.493,48.5,0.549,16.1,17.3,16.7,14.7,0.693,11,15.9,63.1,4.5,8.1,18.1,22.7,0.469,0.333
Houston,21.3,0.394,20.7,0.329,59.4,0.477,53.7,0.458,18.8,18.1,17,19.8,0.717,9.8,13.7,67.7,9.8,8.9,22.4,22,0.656,0.625
Houston Bap,18,0.336,20.6,0.362,60,0.485,57.7,0.526,19.9,20,22.7,22.3,0.719,13.9,13.3,73.5,11.1,8.3,22.2,22.1,0.482,0.5
Howard,17.2,0.291,21.3,0.36,54.8,0.433,58,0.472,18.6,20.4,23.8,20.8,0.653,14.7,12.4,70.1,10.4,10.5,22.6,23.8,0.25,0.5
Idaho,21.2,0.364,23.6,0.347,56.3,0.47,54.9,0.466,21.3,20.2,22.5,23.6,0.713,13,12.2,70.9,9,7.4,24.4,22.6,0.548,0.625
Idaho State,21.2,0.356,23.7,0.399,55.1,0.482,59.1,0.543,18.9,19.2,21,20.2,0.679,13.8,12.9,72.3,6.6,9.2,20.7,25.7,0.133,0.4
IL-Chicago,20.9,0.37,18.9,0.36,58.7,0.476,64.8,0.457,19.2,20,22.6,20.8,0.708,16.6,12.4,76.3,9.9,10.5,25.5,22.9,0.441,0.539
