Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Abl Christian,19,0.377,17,0.333,55.2,0.495,51.3,0.498,19,18,18.8,19.6,0.719,11.6,15.6,68.1,7.9,7.7,21.2,22.6,0.767,0.625,-5.9
Air Force,22.5,0.323,26.4,0.357,55.4,0.531,56.8,0.536,17,17.2,15.6,16.2,0.68,13.2,12.2,69.5,6.5,7,24.1,24.6,0.419,0.571,-1.3
Akron,28,0.317,22.1,0.296,58.9,0.488,58.2,0.461,17.5,17.5,16.3,17.8,0.713,11.9,13.1,70.2,7.8,9.9,24.5,25.7,0.484,0.273,0.7
Alab A&M,18,0.316,20.8,0.353,56.5,0.45,54.1,0.541,18.3,14.5,14.2,21,0.627,15.2,14.3,69.6,8.3,9.3,20.3,23.9,0.156,0.2,-8.3
Alabama,21.1,0.34,19.7,0.333,57.2,0.499,60.2,0.485,16.8,18.9,21.7,17.8,0.666,13.7,11.8,71.6,9.6,8.9,24.8,23.1,0.529,0.455,8.4
Alabama St,22,0.321,20,0.347,56.3,0.448,55.5,0.536,18.3,19.5,21.1,20.4,0.648,14.5,14.7,70.8,9.8,9.3,20.6,24.4,0.345,0.571,-8.9
Albany,24.8,0.348,21.9,0.359,54.4,0.469,56,0.51,17.8,17.2,17.7,16.9,0.745,14.1,12.5,68.9,7.8,7.8,22.8,22.8,0.355,0.182,-4.8
Alcorn State,19.6,0.313,20.8,0.321,54,0.45,56.2,0.553,17.9,15.7,16.5,20.5,0.665,16.3,12.3,69.1,9.5,8.7,20.8,23,0.222,0.5,-12.5
American,19.4,0.326,17.3,0.292,54.8,0.557,57,0.5,17.3,17.5,19.6,19.8,0.698,12.9,12.2,70.3,6.7,8.4,24.1,22.4,0.5,0.286,-4.8
App State,25,0.344,20.8,0.373,59.7,0.513,61.6,0.528,18.3,19.8,22.1,21,0.718,13.1,12.9,74.9,8.2,9.6,23.7,25.4,0.276,0.25,-0.8
AR Lit Rock,18.4,0.356,24.8,0.353,53.8,0.549,57.3,0.517,20.6,21.2,22.9,23.1,0.655,16.5,14.2,74.1,6.9,8.6,24.1,22.9,0.276,0.286,-2.4
Arizona,21.8,0.336,20.3,0.329,58.2,0.481,54.8,0.519,18.6,19.4,19.4,19.2,0.719,11.6,14.1,70.5,8.4,7.5,23,23.8,0.531,0.75,6.1
*Arizona St,21,0.336,25.7,0.334,59.2,0.508,59,0.473,19.9,21.6,25.9,22.8,0.68,13.7,14,75.5,9.9,8.2,26,23.5,0.677,0.6,6.6
Ark Pine Bl,17.8,0.34,17.8,0.355,52,0.47,53.6,0.508,20.1,19.2,22.1,24.1,0.678,15,13.4,69.6,8.2,8.6,21.2,22.3,0.387,0.429,-7.5
Arkansas,22.1,0.345,23.9,0.333,58.9,0.506,56.7,0.489,20.4,21.4,22.6,23.6,0.668,13.2,16.3,74,8.4,10.7,21.7,23.8,0.529,0.462,7.8
Arkansas St,22.3,0.323,21,0.36,59.5,0.465,57.9,0.502,21.6,20,22.5,25.3,0.738,13.8,12.2,73.3,10.7,8.9,23.1,23.3,0.367,0.6,-1.9
Army,26.4,0.317,23.4,0.355,60.7,0.511,58,0.534,17,15.7,14.7,16.5,0.681,11.8,13.4,72.8,6.3,6.9,25.1,27.7,0.387,0.333,-3.8
Auburn,30,0.381,23.2,0.348,60.5,0.517,53.5,0.514,18.4,17.1,18.7,19.5,0.713,11.7,17.1,70.9,9.9,9.1,20.6,22.9,0.744,0.583,11.5
Austin Peay,21,0.375,21.8,0.34,61.5,0.511,58.3,0.535,18.1,19.7,21.3,19.9,0.708,12,15,73.4,10.8,8.6,22.9,22.6,0.645,0.455,-2.1
Ball State,18.7,0.322,21.5,0.321,57,0.535,62,0.468,17.8,19.4,21.4,18.8,0.701,14.7,13,73.8,8.2,10,26.4,23.3,0.469,0.375,1.3
Baylor,23.6,0.341,21,0.345,57.8,0.512,55,0.475,18.7,18,18.7,20.1,0.677,13.1,12.4,68.4,11.5,8.4,22.7,20.1,0.588,0.5,9.6
*Belmont,27.8,0.37,22.1,0.344,63.4,0.592,64.1,0.472,15.6,16.7,18.1,17.6,0.735,11.3,12,75.8,7.5,8.8,28.4,24.1,0.813,0.8,1.4
Beth-Cook,19.9,0.324,21.8,0.309,60.4,0.483,61.5,0.487,19.8,19.6,22.4,22.5,0.609,15.9,14.6,76.1,11.1,10.4,25.6,23.6,0.414,0.4,-9.1
