Team,3 point attempts,3 point %,3 point attempts allowed,3 point % allowed,field goal attempts,2 point %,field goal attempts allowed,2 point % allowed,Fouls per game,opponent fouls per game,Attempted Free throws,Opponent Attempted Free throws,Free throw %,Turnover,Turnover (Against),Possessions,Offensive rebounds,Offensive rebounds (against),Defensive rebounds,Defensive rebounds (against),Win %,Close game win %,SOS
Abl Christian,21.3,0.364,17.6,0.297,59.3,0.493,51.2,0.468,19.4,19.4,19.4,21,0.695,13.6,18.8,72.3,9.6,7.8,22.6,23,0.8,0.75,-2.3
Air Force,21.1,0.33,21.2,0.366,46.8,0.541,52.4,0.591,16.6,16.7,14.4,17.2,0.693,14.4,13.9,65,3.6,9,17.2,23.1,0.2,0.5,-1.1
Akron,28.1,0.334,21,0.316,60.7,0.527,62.2,0.493,18.4,18.3,18.6,17,0.754,12,11.6,72.3,9,10,25.2,22.6,0.619,0.6,0.4
Alab A&M,19.1,0.29,19.8,0.283,57.9,0.454,59.4,0.448,18.2,16.7,18.4,22.2,0.627,15.3,12.8,72.5,9.4,10.2,25.5,25.7,0.4,0.75,-11.2
Alabama,30,0.352,21.3,0.291,64.4,0.507,62.2,0.468,18.3,18.2,18.5,19.1,0.708,13.9,15.3,76.7,10.5,9.7,26.1,24.2,0.788,0.7,10.7
Alabama St,19.4,0.317,18.4,0.325,56.1,0.413,57.9,0.49,19.1,21.6,23.9,21.4,0.647,16.2,14.9,74.2,9.2,8.9,23.8,25.8,0.222,0.25,-13.7
Albany,18.9,0.337,20.6,0.345,55.2,0.505,55.9,0.511,17.8,18.4,18.8,16.4,0.724,12.6,14.6,70.7,5.8,7.8,21.9,23.4,0.438,0.2,-3.6
Alcorn State,19.8,0.301,20.4,0.346,58.3,0.44,52.2,0.577,20.7,17.8,19.8,26.2,0.726,14.5,15.7,73.1,8.6,7.8,19.6,23.9,0.316,0.25,-10.6
American,23.8,0.378,17.2,0.291,55.7,0.495,58.4,0.529,19.3,15.6,14.9,22.4,0.705,15.8,12.5,72.1,6.6,9.3,23,23.4,0.4,0.667,-2.8
*App State,25.6,0.317,21.7,0.337,57.5,0.464,57.8,0.496,13.6,17.2,18.8,13.7,0.723,12,13.4,69.3,9,8.6,22.4,24.7,0.52,0.5,-4
AR Lit Rock,18,0.312,22.5,0.349,53.6,0.522,57,0.497,16.2,18.8,20.2,15.8,0.71,15.4,13.8,69.9,8.9,8.2,23,21,0.4,0.364,-2.6
Arizona,18,0.372,20.7,0.341,57.4,0.481,56.5,0.48,17.8,20.2,24,18.3,0.727,11.9,12.4,70.6,10.2,6.9,25.1,21,0.654,0.5,8.8
Arizona St,21.5,0.333,21.2,0.362,60.6,0.488,58.4,0.515,19.1,18.2,20.2,21.1,0.728,11,15.2,74.5,6.6,9.1,21.9,27.7,0.44,0.667,9.1
Ark Pine Bl,16,0.308,19.1,0.4,54.2,0.419,57.4,0.512,18.2,18.9,20.9,22,0.723,15.8,12.9,71.4,8.6,9.3,21,24.5,0.16,0.25,-9.3
Arkansas,21.9,0.332,23.1,0.336,64.8,0.512,61.2,0.463,16.9,19,21.2,17.8,0.74,12.9,15.1,76.6,10.7,8.4,26,24,0.781,0.714,10
Arkansas St,16.3,0.374,20,0.352,57.2,0.448,59.7,0.479,16.3,17.9,19.8,16.6,0.724,13.5,12.2,70.7,9.6,8.9,24.4,23,0.381,0.333,-4.4
Army,23.5,0.323,23.6,0.367,58,0.539,58.1,0.506,15.8,17.5,17,14.1,0.633,12.7,13.7,72.1,6.2,7,23.9,25.6,0.524,0.833,-2.5
Auburn,27.8,0.326,22.4,0.327,60.3,0.531,63.3,0.499,17.9,19.8,21.8,20,0.708,16.2,13.7,75.8,11,10.7,24.6,21.9,0.482,0.333,9.4
Austin Peay,21,0.333,20.1,0.369,59.3,0.506,54,0.545,17.4,18.1,17.4,17.8,0.757,14.7,15.4,70.2,11.6,8.1,20,21.5,0.48,0.364,-5.8
Ball State,24.8,0.342,23.4,0.31,60.2,0.514,61.7,0.504,19.2,17.8,17.3,22,0.751,14.3,12.5,74.3,8.6,10.3,25,24.3,0.435,0.333,0.9
Baylor,24.1,0.413,18.8,0.329,62.9,0.532,54.7,0.487,17.1,16.4,16.7,17.1,0.708,11.5,17,71,11.2,8.9,21.8,20,0.933,1,13.3
